ticket_id,user_id,created_at,category,issue_text,sentiment,resolution_time_hours
900001,133554,2026-05-04 04:04:01,Payment Failure,My payment failed and I do not know why.,negative,12.26
900002,109428,2026-02-10 05:02:51,Rewards,The rewards experience is confusing.,neutral,11.87
900003,100200,2026-04-04 08:16:56,App Performance,The app feels slow and sometimes freezes.,negative,4.48
900004,112448,2026-06-20 22:38:40,Payment Failure,My payment failed and I do not know why.,negative,8.74
900005,139490,2026-06-05 06:12:43,Rewards,The rewards experience is confusing.,neutral,10.47
900006,142725,2026-06-13 00:50:24,Payment Failure,My payment failed and I do not know why.,negative,15.74
900007,110823,2026-01-10 13:12:19,KYC Issues,I am unable to complete KYC document verification.,negative,12.4
900008,149499,2026-05-25 14:27:32,KYC Issues,I am unable to complete KYC document verification.,negative,27.22
900009,104145,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,11.27
900010,136959,2026-03-28 13:47:22,Payment Failure,My payment failed and I do not know why.,negative,12.67
900011,143107,2026-01-10 02:39:39,KYC Issues,I am unable to complete KYC document verification.,negative,14.44
900012,138696,2026-03-11 11:27:48,Account,I need help with my account.,neutral,13.1
900013,106189,2026-02-05 00:40:20,KYC Issues,I am unable to complete KYC document verification.,negative,26.33
900014,101415,2026-05-13 00:34:59,Account,I need help with my account.,neutral,19.24
900015,118472,2026-05-01 13:07:03,Account,I need help with my account.,neutral,14.15
900016,129283,2026-03-24 07:08:11,Payment Failure,My payment failed and I do not know why.,negative,12.95
900017,115178,2026-02-14 14:39:43,Rewards,The rewards experience is confusing.,neutral,9.22
900018,134305,2026-04-11 22:11:26,KYC Issues,I am unable to complete KYC document verification.,negative,2.75
900019,112610,2026-04-03 19:23:31,Account,I need help with my account.,neutral,3.26
900020,112145,2026-05-23 00:03:35,KYC Issues,I am unable to complete KYC document verification.,negative,6.03
900021,106114,2026-03-05 05:10:37,KYC Issues,I am unable to complete KYC document verification.,negative,17.66
900022,115909,2026-05-06 18:52:29,Account,I need help with my account.,neutral,3.67
900023,100822,2026-05-01 07:07:47,KYC Issues,I am unable to complete KYC document verification.,negative,14.52
900024,115119,2026-05-13 12:43:50,Rewards,The rewards experience is confusing.,neutral,18.58
900025,113467,2026-01-23 09:01:12,KYC Issues,I am unable to complete KYC document verification.,negative,6.81
900026,126498,2026-03-21 19:35:32,Rewards,The rewards experience is confusing.,neutral,4.31
900027,142112,2026-04-05 23:52:34,Payment Failure,My payment failed and I do not know why.,negative,11.34
900028,130189,2026-06-08 18:35:38,KYC Issues,I am unable to complete KYC document verification.,negative,0.84
900029,137238,2026-02-03 05:22:13,KYC Issues,I am unable to complete KYC document verification.,negative,5.5
900030,133110,2026-06-20 11:05:59,Account,I need help with my account.,neutral,4.14
900031,136481,2026-03-06 11:26:51,App Performance,The app feels slow and sometimes freezes.,negative,6.66
900032,124149,2026-04-10 15:12:17,Payment Failure,My payment failed and I do not know why.,negative,32.33
900033,105504,2026-04-30 08:22:21,Account,I need help with my account.,neutral,15.24
900034,103919,2026-04-05 18:25:50,Payment Failure,My payment failed and I do not know why.,negative,4.16
900035,138479,2026-03-07 14:57:53,Payment Failure,My payment failed and I do not know why.,negative,5.33
900036,121124,2026-03-01 08:24:02,Payment Failure,My payment failed and I do not know why.,negative,15.34
900037,149718,2026-04-11 06:39:22,KYC Issues,I am unable to complete KYC document verification.,negative,3.43
900038,142295,2026-04-21 17:18:11,Account,I need help with my account.,neutral,3.18
900039,147610,2026-05-17 13:51:35,Account,I need help with my account.,neutral,2.56
900040,111077,2026-06-16 23:57:05,Payment Failure,My payment failed and I do not know why.,negative,19.88
900041,141515,2026-06-21 02:57:37,App Performance,The app feels slow and sometimes freezes.,negative,18.62
900042,122063,2026-02-11 16:38:06,Rewards,The rewards experience is confusing.,neutral,2.24
900043,109414,2026-04-21 15:11:47,App Performance,The app feels slow and sometimes freezes.,negative,20.21
900044,138341,2026-02-05 07:13:10,Rewards,The rewards experience is confusing.,neutral,4.39
900045,130264,2026-03-02 20:22:15,Payment Failure,My payment failed and I do not know why.,negative,1.04
900046,141253,2026-02-19 20:40:06,KYC Issues,I am unable to complete KYC document verification.,negative,18.88
900047,114645,2026-01-06 14:26:31,KYC Issues,I am unable to complete KYC document verification.,negative,10.51
900048,126336,2026-04-01 00:34:17,KYC Issues,I am unable to complete KYC document verification.,negative,9.77
900049,128103,2026-05-11 01:08:14,Payment Failure,My payment failed and I do not know why.,negative,4.29
900050,117524,2026-02-20 22:43:57,Rewards,The rewards experience is confusing.,neutral,3.85
900051,124713,2026-03-12 15:14:58,App Performance,The app feels slow and sometimes freezes.,negative,24.02
900052,140486,2026-06-04 00:19:19,Rewards,The rewards experience is confusing.,neutral,8.5
900053,103851,2026-03-13 02:39:38,Payment Failure,My payment failed and I do not know why.,negative,24.72
900054,140041,2026-05-22 12:15:37,Account,I need help with my account.,neutral,16.63
900055,115268,2026-03-20 09:58:06,App Performance,The app feels slow and sometimes freezes.,negative,6.86
900056,149147,2026-04-29 00:51:45,Rewards,The rewards experience is confusing.,neutral,10.61
900057,130002,2026-06-23 01:10:26,App Performance,The app feels slow and sometimes freezes.,negative,13.01
900058,145927,2026-05-28 16:49:01,Payment Failure,My payment failed and I do not know why.,negative,12.71
900059,143825,2026-05-29 05:54:07,App Performance,The app feels slow and sometimes freezes.,negative,8.38
900060,117241,2026-01-25 11:01:23,Account,I need help with my account.,neutral,11.36
900061,104893,2026-04-26 13:31:35,Rewards,The rewards experience is confusing.,neutral,6.48
900062,100726,2026-02-12 18:18:00,Account,I need help with my account.,neutral,17.92
900063,122950,2026-05-31 06:59:03,Account,I need help with my account.,neutral,2.13
