week_start,device_type,app_version,kyc_started,kyc_completed,kyc_failed,kyc_completion_rate_pct
2025-12-29,Android,5.2,705,529,113,75.04
2025-12-29,iOS,5.2,204,149,35,73.04
2025-12-29,Web,web-2.1,43,35,5,81.40
2026-01-05,Android,5.2,1227,946,171,77.10
2026-01-05,iOS,5.2,373,289,46,77.48
2026-01-05,Web,web-2.1,56,40,7,71.43
2026-01-12,Android,5.2,1210,928,177,76.69
2026-01-12,iOS,5.2,357,272,51,76.19
2026-01-12,Web,web-2.1,53,42,8,79.25
2026-01-19,Android,5.2,1259,970,181,77.05
2026-01-19,iOS,5.2,365,279,51,76.44
2026-01-19,Web,web-2.1,75,57,11,76.00
2026-01-26,Android,5.2,1236,917,186,74.19
2026-01-26,iOS,5.2,366,285,47,77.87
2026-01-26,Web,web-2.1,67,51,10,76.12
2026-02-02,Android,5.2,1216,927,165,76.23
2026-02-02,iOS,5.2,366,281,58,76.78
2026-02-02,Web,web-2.1,58,43,7,74.14
2026-02-09,Android,5.2,1244,953,178,76.61
2026-02-09,iOS,5.2,365,288,49,78.90
2026-02-09,Web,web-2.1,71,55,8,77.46
2026-02-16,Android,5.2,1252,960,174,76.68
2026-02-16,iOS,5.2,352,282,43,80.11
2026-02-16,Web,web-2.1,77,52,12,67.53
2026-02-23,Android,5.2,1047,805,146,76.89
2026-02-23,Android,5.3,187,141,28,75.40
2026-02-23,iOS,5.2,311,237,45,76.21
2026-02-23,iOS,5.3,62,42,12,67.74
2026-02-23,Web,web-2.1,59,43,10,72.88
2026-03-02,Android,5.3,1169,872,172,74.59
2026-03-02,iOS,5.3,341,261,49,76.54
2026-03-02,Web,web-2.1,80,60,12,75.00
2026-03-09,Android,5.3,1181,899,174,76.12
2026-03-09,iOS,5.3,384,294,53,76.56
2026-03-09,Web,web-2.1,71,57,11,80.28
2026-03-16,Android,5.3,1232,929,183,75.41
2026-03-16,iOS,5.3,348,271,48,77.87
2026-03-16,Web,web-2.1,63,49,11,77.78
2026-03-23,Android,5.3,1216,941,174,77.38
2026-03-23,iOS,5.3,324,254,46,78.40
2026-03-23,Web,web-2.1,54,42,7,77.78
2026-03-30,Android,5.3,1280,934,208,72.97
2026-03-30,iOS,5.3,329,239,54,72.64
2026-03-30,Web,web-2.1,82,65,11,79.27
2026-04-06,Android,5.3,1178,917,147,77.84
2026-04-06,iOS,5.3,373,289,50,77.48
2026-04-06,Web,web-2.1,56,39,12,69.64
2026-04-13,Android,5.3,1201,898,189,74.77
2026-04-13,iOS,5.3,380,282,54,74.21
2026-04-13,Web,web-2.1,78,64,9,82.05
2026-04-20,Android,5.3,1224,931,186,76.06
2026-04-20,iOS,5.3,335,251,55,74.93
2026-04-20,Web,web-2.1,64,53,9,82.81
2026-04-27,Android,5.3,1212,893,185,73.68
2026-04-27,iOS,5.3,354,277,47,78.25
2026-04-27,Web,web-2.1,75,62,9,82.67
2026-05-04,Android,5.3,1219,919,183,75.39
2026-05-04,iOS,5.3,397,319,51,80.35
2026-05-04,Web,web-2.1,65,50,7,76.92
2026-05-11,Android,5.3,797,622,104,78.04
2026-05-11,Android,5.4,410,225,116,54.88
2026-05-11,iOS,5.3,247,190,36,76.92
2026-05-11,iOS,5.4,123,79,30,64.23
2026-05-11,Web,web-2.1,74,51,14,68.92
2026-05-18,Android,5.3,295,227,37,76.95
2026-05-18,Android,5.4,878,482,261,54.90
2026-05-18,iOS,5.3,88,74,9,84.09
2026-05-18,iOS,5.4,253,199,29,78.66
2026-05-18,Web,web-2.1,72,54,12,75.00
2026-05-25,Android,5.3,308,248,36,80.52
2026-05-25,Android,5.4,929,510,263,54.90
2026-05-25,iOS,5.3,91,68,13,74.73
2026-05-25,iOS,5.4,255,202,39,79.22
2026-05-25,Web,web-2.1,58,39,11,67.24
2026-06-01,Android,5.3,297,215,55,72.39
2026-06-01,Android,5.4,897,480,249,53.51
2026-06-01,iOS,5.3,101,75,14,74.26
2026-06-01,iOS,5.4,235,186,24,79.15
2026-06-01,Web,web-2.1,52,42,5,80.77
2026-06-08,Android,5.3,300,232,49,77.33
2026-06-08,Android,5.4,880,460,256,52.27
2026-06-08,iOS,5.3,111,85,19,76.58
2026-06-08,iOS,5.4,260,215,31,82.69
2026-06-08,Web,web-2.1,63,43,9,68.25
2026-06-15,Android,5.3,302,213,57,70.53
2026-06-15,Android,5.4,894,518,247,57.94
2026-06-15,iOS,5.3,96,77,11,80.21
2026-06-15,iOS,5.4,290,221,40,76.21
2026-06-15,Web,web-2.1,68,57,9,83.82
2026-06-22,Android,5.3,92,75,10,81.52
2026-06-22,Android,5.4,262,135,84,51.53
2026-06-22,iOS,5.3,33,25,5,75.76
2026-06-22,iOS,5.4,82,65,10,79.27
2026-06-22,Web,web-2.1,23,18,5,78.26
