week_start,weekly_successful_transacting_users,successful_transactions,successful_transaction_value
2025-12-29,131,171,56982.95
2026-01-05,688,1345,478009.78
2026-01-12,1103,1922,661524.19
2026-01-19,1371,2392,846718.35
2026-01-26,1511,2470,903761.26
2026-02-02,1559,2529,884023.77
2026-02-09,1594,2550,956677.50
2026-02-16,1638,2682,1016847.77
2026-02-23,1598,2570,916594.54
2026-03-02,1580,2591,942278.28
2026-03-09,1557,2486,908759.37
2026-03-16,1564,2576,939317.30
2026-03-23,1544,2499,931672.13
2026-03-30,1614,2543,905054.31
2026-04-06,1611,2596,911913.09
2026-04-13,1590,2497,895049.58
2026-04-20,1601,2699,960336.57
2026-04-27,1616,2664,1015606.74
2026-05-04,1575,2591,947444.99
2026-05-11,1577,2573,992027.93
2026-05-18,1515,2409,877671.47
2026-05-25,1431,2210,782728.89
2026-06-01,1339,2105,741347.68
2026-06-08,1311,1989,719081.99
2026-06-15,1221,1747,589373.06
2026-06-22,972,1339,497749.67
2026-06-29,232,247,99766.83
