transaction_id,user_id,transaction_timestamp,transaction_type,amount,status,failure_reason,payment_partner
500001,100001,2026-01-28 20:13:55,Merchant Payment,654.39,pending,,AxisPay
500002,100001,2026-01-31 07:21:18,Wallet Transfer,691.47,failed,timeout,HDFCPay
500003,100001,2026-01-29 00:04:07,Bill Payment,768.71,success,,HDFCPay
500004,100002,2026-05-19 15:47:09,UPI,1506.25,success,,ICICIPay
500005,100002,2026-06-09 20:40:55,Bill Payment,1306.37,success,,ICICIPay
500006,100002,2026-05-26 08:21:14,Merchant Payment,163.37,success,,HDFCPay
500007,100013,2026-05-20 06:22:20,Mobile Recharge,546.12,success,,SBIPay
500008,100013,2026-05-20 07:37:55,Wallet Transfer,23.56,success,,PartnerX
500009,100016,2026-04-12 20:38:40,Wallet Transfer,121.1,success,,PartnerX
500010,100016,2026-04-03 05:32:16,Bill Payment,283.93,success,,PartnerX
500011,100016,2026-04-09 21:25:38,Wallet Transfer,138.09,success,,AxisPay
500012,100016,2026-04-12 15:09:09,Mobile Recharge,146.74,success,,HDFCPay
500013,100018,2026-06-11 11:40:05,UPI,52.86,success,,AxisPay
500014,100027,2026-06-05 19:23:14,Mobile Recharge,474.54,success,,ICICIPay
500015,100027,2026-05-26 16:32:44,UPI,110.48,success,,PartnerX
500016,100029,2026-05-01 15:26:14,UPI,1201.1,success,,AxisPay
500017,100029,2026-04-05 18:36:30,Merchant Payment,308.92,success,,PartnerX
500018,100029,2026-03-27 20:23:22,Bill Payment,464.3,success,,AxisPay
500019,100029,2026-03-26 16:21:32,Mobile Recharge,191.69,success,,HDFCPay
500020,100029,2026-03-28 09:23:43,Merchant Payment,102.38,success,,HDFCPay
500021,100029,2026-03-28 15:42:24,UPI,112.15,success,,ICICIPay
500022,100029,2026-03-23 05:29:24,Bill Payment,783.84,success,,HDFCPay
500023,100031,2026-02-15 09:26:28,Merchant Payment,167.95,success,,ICICIPay
500024,100031,2026-02-12 06:38:06,Mobile Recharge,1160.73,success,,AxisPay
500025,100034,2026-06-10 04:27:22,Mobile Recharge,363.81,success,,ICICIPay
500026,100041,2026-05-15 23:08:31,Merchant Payment,363.13,success,,AxisPay
500027,100044,2026-01-21 00:03:07,UPI,1341.8,success,,SBIPay
500028,100044,2026-02-07 17:48:09,UPI,257.81,success,,ICICIPay
500029,100044,2026-01-19 17:23:22,Wallet Transfer,127.24,success,,HDFCPay
500030,100044,2026-01-17 04:13:14,UPI,785.56,success,,HDFCPay
500031,100044,2026-02-09 15:20:25,Wallet Transfer,107.39,success,,AxisPay
500032,100046,2026-03-22 12:26:43,Bill Payment,1139.91,success,,AxisPay
500033,100046,2026-03-21 04:28:38,Merchant Payment,296.07,success,,PartnerX
500034,100046,2026-03-28 23:25:22,Bill Payment,533.62,success,,ICICIPay
500035,100046,2026-04-01 15:09:52,Bill Payment,130.7,success,,ICICIPay
500036,100049,2026-05-21 15:43:31,Mobile Recharge,235.45,success,,ICICIPay
500037,100050,2026-05-14 11:30:52,Bill Payment,2383.04,success,,AxisPay
500038,100050,2026-06-02 22:18:39,Merchant Payment,15.33,success,,AxisPay
500039,100054,2026-04-03 18:43:07,UPI,164.61,success,,ICICIPay
500040,100054,2026-04-05 07:37:23,Bill Payment,658.09,success,,SBIPay
500041,100054,2026-05-27 05:53:36,Bill Payment,612.81,success,,ICICIPay
500042,100054,2026-04-13 01:00:49,Mobile Recharge,383.95,success,,SBIPay
500043,100055,2026-01-25 23:04:07,Wallet Transfer,144.78,success,,ICICIPay
500044,100055,2026-01-12 04:04:38,Merchant Payment,336.6,success,,ICICIPay
500045,100055,2026-01-13 16:41:33,Bill Payment,336.76,success,,AxisPay
500046,100055,2026-01-10 19:30:22,Merchant Payment,67.5,success,,PartnerX
500047,100055,2026-01-14 14:13:17,Bill Payment,71.86,success,,SBIPay
500048,100055,2026-01-21 11:15:02,Mobile Recharge,356.61,success,,AxisPay
500049,100055,2026-01-18 07:04:11,Mobile Recharge,382.67,success,,HDFCPay
500050,100058,2026-05-15 23:10:41,Bill Payment,271.26,success,,PartnerX
500051,100058,2026-05-18 17:49:42,Merchant Payment,142.07,success,,SBIPay
500052,100059,2026-05-11 02:13:11,Bill Payment,534.46,success,,HDFCPay
500053,100059,2026-05-02 09:17:07,Bill Payment,420.54,success,,AxisPay
500054,100059,2026-05-03 11:19:41,Bill Payment,405.97,success,,SBIPay
500055,100059,2026-05-03 09:20:43,Mobile Recharge,60.04,success,,AxisPay
500056,100059,2026-05-06 09:33:08,Bill Payment,99.62,success,,HDFCPay
500057,100064,2026-03-14 19:28:34,UPI,162.94,success,,AxisPay
500058,100064,2026-03-23 07:29:01,Wallet Transfer,326.9,success,,AxisPay
500059,100064,2026-03-21 06:06:15,Merchant Payment,70.48,success,,PartnerX
500060,100064,2026-04-21 19:11:05,Mobile Recharge,343.74,success,,SBIPay
500061,100064,2026-03-25 05:35:12,Bill Payment,167.77,failed,insufficient_funds,PartnerX
500062,100064,2026-03-24 18:55:33,Mobile Recharge,745.3,success,,AxisPay
500063,100064,2026-04-19 12:51:17,Bill Payment,759.5,success,,HDFCPay
500064,100068,2026-01-15 15:11:17,UPI,68.84,success,,SBIPay
500065,100069,2026-03-30 08:53:29,Wallet Transfer,322.55,success,,SBIPay
500066,100069,2026-03-25 22:36:16,UPI,93.79,success,,HDFCPay
500067,100069,2026-04-02 02:04:18,Bill Payment,140.73,success,,HDFCPay
500068,100069,2026-04-08 03:35:29,Wallet Transfer,142.78,success,,AxisPay
500069,100069,2026-03-26 11:30:02,Wallet Transfer,333.28,success,,HDFCPay
500070,100071,2026-02-12 04:09:02,UPI,59.42,success,,ICICIPay
500071,100071,2026-03-17 07:04:33,Merchant Payment,502.54,success,,AxisPay
500072,100071,2026-02-08 15:05:12,Merchant Payment,763.84,success,,AxisPay
500073,100071,2026-02-27 03:25:59,Wallet Transfer,152.45,success,,ICICIPay
500074,100071,2026-02-08 23:28:55,UPI,63.86,success,,PartnerX
500075,100071,2026-02-10 07:10:20,Merchant Payment,137.15,success,,PartnerX
500076,100071,2026-02-22 05:01:37,UPI,212.93,success,,PartnerX
500077,100071,2026-02-05 20:24:47,Wallet Transfer,56.9,success,,HDFCPay
500078,100071,2026-03-04 12:43:06,UPI,321.56,success,,AxisPay
500079,100071,2026-02-16 12:14:34,UPI,86.28,success,,AxisPay
500080,100071,2026-02-09 18:34:34,UPI,10.0,success,,PartnerX
500081,100071,2026-02-07 01:35:28,Wallet Transfer,275.42,success,,PartnerX
500082,100071,2026-02-07 22:47:31,Wallet Transfer,96.99,success,,ICICIPay
500083,100071,2026-02-06 22:55:35,Merchant Payment,99.45,success,,SBIPay
500084,100074,2026-05-08 06:41:12,Wallet Transfer,454.26,success,,HDFCPay
500085,100076,2026-03-10 13:34:18,Bill Payment,585.32,success,,SBIPay
500086,100079,2026-05-15 04:05:14,Merchant Payment,80.12,success,,SBIPay
500087,100079,2026-05-23 01:28:58,Mobile Recharge,70.52,success,,SBIPay
500088,100081,2026-04-09 15:10:33,UPI,108.1,success,,ICICIPay
500089,100083,2026-06-10 15:18:39,Mobile Recharge,207.62,success,,SBIPay
500090,100083,2026-05-28 10:25:41,Wallet Transfer,58.17,success,,SBIPay
500091,100083,2026-06-25 04:34:36,Mobile Recharge,160.25,success,,HDFCPay
500092,100083,2026-05-30 14:24:49,Merchant Payment,95.57,success,,SBIPay
500093,100083,2026-05-31 04:37:17,Wallet Transfer,106.98,success,,AxisPay
500094,100083,2026-05-27 13:29:41,Bill Payment,57.66,success,,HDFCPay
500095,100083,2026-06-14 16:20:56,Merchant Payment,97.58,success,,SBIPay
500096,100083,2026-06-07 05:18:45,UPI,737.27,success,,HDFCPay
500097,100084,2026-04-22 09:02:35,UPI,729.83,success,,SBIPay
500098,100084,2026-04-25 20:54:00,UPI,41.1,success,,ICICIPay
500099,100086,2026-01-20 18:52:00,Mobile Recharge,126.42,success,,PartnerX
500100,100086,2026-01-26 22:40:32,Merchant Payment,260.67,success,,ICICIPay
500101,100086,2026-02-12 13:20:38,UPI,532.22,success,,ICICIPay
500102,100086,2026-02-01 02:53:59,UPI,367.42,success,,PartnerX
500103,100086,2026-01-20 11:18:33,Mobile Recharge,114.34,success,,PartnerX
500104,100086,2026-01-30 13:30:29,Mobile Recharge,49.49,success,,AxisPay
500105,100087,2026-02-26 11:00:32,Bill Payment,543.0,success,,PartnerX
500106,100087,2026-03-02 04:04:28,Wallet Transfer,251.35,success,,AxisPay
